component_id,stable_key,semantic_name,semantic_side,region,material_family,deformation_type,risk_level,action,confidence_percent,classification_status,target_parent,evidence,notes,geometric_side_provisional,vertex_count,face_count,dominant_groups,technical_flags
20,C020-V028460,Faixa central traseira de pelo da cabeça,CENTER,HEAD_NECK_FUR,Pelo geométrico,RIGID,HIGH,REBUILD,94,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,CENTER,4604,8824,head:4604.000000,CROSSES_CENTER_PLANE
21,C021-V028545,"Casco traseiro e externo do calçado esquerdo, incluindo tornozelo",LEFT,SHOE_LEFT,Calçado,HYBRID,HIGH,RETOPOLOGY,88,FINAL,SHOE_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,4756,9134,foot.L:2947.435258|shin.L:1808.564761,
22,C022-V028563,"Casco frontal e interno do calçado esquerdo, incluindo ponta do pé",LEFT,SHOE_LEFT,Calçado,HYBRID,HIGH,RETOPOLOGY,89,FINAL,SHOE_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,4915,9452,foot.L:3426.866025|shin.L:1059.840978|toe.L:428.292999,
23,C023-V028676,Painel da calça na canela esquerda,LEFT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,97,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,4018,7704,shin.L:3392.815143|thigh.L:625.184858,
24,C024-V031619,Camada de pelo da lateral direita da cabeça e face,RIGHT,HEAD_NECK_FUR,Pelo geométrico,RIGID,HIGH,REBUILD,96,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,6043,11569,head:6026.393809|neck:16.606189,
25,C025-V035147,Triângulo residual solto na região da cabeça,RIGHT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,RIGHT,3,1,head:3.000000,VERY_SMALL_COMPONENT
26,C026-V035853,"Painel interno e frontal da coxa esquerda, atravessando a virilha",LEFT/CENTER,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,95,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir loops de virilha e remover influência indevida de coluna.,CENTER,6251,12068,thigh.L:5336.240770|pelvis:910.549155|spine_01:4.210072,CROSSES_CENTER_PLANE
27,C027-V035864,Painel externo da coxa esquerda,LEFT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,96,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,3151,6036,thigh.L:3151.000000,
28,C028-V039815,"Pequena aba lateral direita da barra do moletom, junto à cintura",RIGHT,HOODIE_TORSO,Tecido,HYBRID,HIGH,REBUILD,92,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,130,210,spine_02:83.550515|spine_01:46.449485,
29,C029-V039824,"Painel frontal esquerdo da calça, da cintura à coxa",LEFT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,91,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,4347,8302,thigh.L:2635.759714|spine_02:945.551331|spine_01:765.476744|index_03.L:0.212216,
30,C030-V039826,"Painel lateral direito do moletom, da axila à cintura",RIGHT,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,94,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,1997,3735,spine_02:1968.966285|chest:27.263472|upper_arm.R:0.657706|clavicle.R:0.112541,
31,C031-V042107,Painel frontal superior da manga direita e ombro,RIGHT,SLEEVE_RIGHT,Tecido,HYBRID,HIGH,RETOPOLOGY,94,FINAL,HOODIE_SLEEVE_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,1336,2512,upper_arm.R:1090.302675|clavicle.R:171.091044|chest:53.719436|spine_02:20.886859,
32,C032-V042946,"Painel lateral externo da perna esquerda, atravessando joelho e canela",LEFT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,88,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,2561,4863,thigh.L:1298.311000|shin.L:1262.689000,
33,C033-V044956,"Painel frontal e interno da perna esquerda, atravessando joelho e canela",LEFT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,86,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,3025,5766,shin.L:1554.507348|thigh.L:1470.492653,
34,C034-V045953,"Tufo interno de pelo da lateral direita da nuca e pescoço, dentro do capuz",RIGHT,HEAD_NECK_FUR,Pelo geométrico,RIGID,HIGH,REBUILD,95,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,120,190,head:115.390740|clavicle.R:4.609260,
35,C035-V047387,"Casco principal da manga direita, do ombro ao antebraço",RIGHT,SLEEVE_RIGHT,Tecido,HYBRID,HIGH,RETOPOLOGY,98,FINAL,HOODIE_SLEEVE_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.","Refazer fluxo da manga direita no ombro, axila e cotovelo.",RIGHT,6623,12802,forearm.R:3864.107652|upper_arm.R:2176.733466|chest:339.896327|spine_02:132.158185|clavicle.R:110.104428,
36,C036-V047395,Painel traseiro e interno da manga direita,RIGHT,SLEEVE_RIGHT,Tecido,HYBRID,HIGH,RETOPOLOGY,93,FINAL,HOODIE_SLEEVE_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Integrar à manga direita com pesos graduais e sem cascas sobrepostas.,RIGHT,1765,3317,forearm.R:863.419108|upper_arm.R:446.678454|chest:257.176266|spine_02:100.019401|clavicle.R:97.706773,
37,C037-V048519,"Painel frontal da perna direita, atravessando joelho e canela",RIGHT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,91,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,3076,5902,shin.R:1726.753154|thigh.R:1349.246850,
38,C038-V050391,"Painel lateral e traseiro da perna direita, atravessando joelho e canela",RIGHT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,89,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,1915,3635,shin.R:1056.678000|thigh.R:858.322000,
39,C039-V050562,Painel curvo da calça sobre o joelho direito,RIGHT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,94,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,3090,5880,thigh.R:3089.981656|index_02.R:0.018344,
40,C040-V051674,Triângulo residual solto na cabeça,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,3,1,head:3.000000,VERY_SMALL_COMPONENT
41,C041-V053474,Triângulo residual solto no braço direito,RIGHT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,RIGHT,3,1,upper_arm.R:3.000000,VERY_SMALL_COMPONENT
42,C042-V054704,"Painel frontal e lateral esquerdo do moletom, entre peito e cintura",LEFT,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,96,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,2966,5611,spine_02:2731.475841|chest:234.524159,
43,C043-V055315,Triângulo residual solto na cabeça,RIGHT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,RIGHT,3,1,head:3.000000,VERY_SMALL_COMPONENT
44,C044-V056447,Painel externo do bolso e quadril direito da calça,RIGHT,PANTS,Tecido estruturado,HYBRID,HIGH,REBUILD,88,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,811,1482,spine_01:432.873296|spine_02:193.876327|thigh.R:184.250392,
45,C045-V059882,Painel principal externo da manga esquerda,LEFT,SLEEVE_LEFT,Tecido,HYBRID,HIGH,RETOPOLOGY,97,FINAL,HOODIE_SLEEVE_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,4025,7711,forearm.L:2304.970225|upper_arm.L:953.269350|chest:429.545565|clavicle.L:170.176140|spine_02:167.038735,
46,C046-V059889,Painel interno e frontal da manga esquerda,LEFT,SLEEVE_LEFT,Tecido,HYBRID,HIGH,RETOPOLOGY,95,FINAL,HOODIE_SLEEVE_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,3015,5723,forearm.L:1921.533845|upper_arm.L:1085.158279|clavicle.L:6.733740|chest:1.132906|spine_02:0.441243,
47,C047-V067764,"Inserto da axila esquerda, ligando manga e tronco",LEFT,SLEEVE_LEFT,Tecido,HYBRID,HIGH,RETOPOLOGY,94,FINAL,HOODIE_SLEEVE_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Inserto crítico de axila; validar braço elevado sem buraco ou interseção.,LEFT,250,407,chest:120.594579|spine_02:104.554750|upper_arm.L:20.376177|clavicle.L:4.474495,
48,C048-V068836,"Painel frontal e interno da coxa direita, atravessando a virilha",RIGHT/CENTER,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,97,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.","Reconstruir loops de virilha e separar influências de pelve, coxa e tronco.",CENTER,5289,10194,thigh.R:3499.727584|spine_01:850.086090|pelvis:735.019458|spine_02:204.166883,CROSSES_CENTER_PLANE
49,C049-V070515,Faixa externa da manga no antebraço direito,RIGHT,SLEEVE_RIGHT,Tecido,SOFT,HIGH,RETOPOLOGY,91,FINAL,HOODIE_SLEEVE_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,708,1237,forearm.R:708.000000,
50,C050-V070533,Camada externa de pelo do punho e antebraço esquerdo,LEFT,HAND_LEFT,Pelo geométrico,HYBRID,CRITICAL,REBUILD,92,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,1345,2510,forearm.L:1343.887319|thumb_01.L:1.112681,
51,C051-V071993,Painel ou bolso externo da coxa direita,RIGHT,PANTS,Tecido estruturado,HYBRID,HIGH,REBUILD,87,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Remover contaminação de pesos dos ossos do polegar direito.,RIGHT,1213,2231,thigh.R:1133.698071|thumb_01.R:78.082786|thumb_02.R:1.219141,
52,C052-V072647,"Painel frontal direito do capuz, gola e ombro",RIGHT,HOOD,Tecido,HYBRID,HIGH,RETOPOLOGY,96,FINAL,HOOD,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,2780,5253,clavicle.R:1902.947678|head:525.932670|chest:224.392449|spine_02:79.295356|neck:25.662270|upper_arm.R:19.654771|clavicle.L:2.114808,
53,C053-V074931,"Mão direita completa, incluindo palma e dedos",RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,RETOPOLOGY,99,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.","Reconstruir loops anatômicos de dedos, polegar, palma e punho.",RIGHT,5654,10866,forearm.R:2311.925071|pinky_01.R:764.374219|pinky_02.R:575.828478|thumb_02.R:501.055570|index_01.R:438.905159|pinky_03.R:431.077241|hand.R:339.099931|thumb_01.R:199.486018,
54,C054-V078402,Faixa inferior de pelo da mandíbula e pescoço,CENTER,HEAD_NECK_FUR,Pelo geométrico,HYBRID,HIGH,REBUILD,88,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,CENTER,2930,5529,head:1944.646360|clavicle.L:702.995507|neck:280.884724|clavicle.R:1.473408,CROSSES_CENTER_PLANE
55,C055-V080937,Fragmento residual oculto na costura interna da axila esquerda,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,98,FINAL,NONE,Resíduo confirmado visualmente; 20 vértices e 21 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,20,21,spine_02:20.000000,VERY_SMALL_COMPONENT
56,C056-V082354,Triângulo residual solto no tronco,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,3,1,spine_02:3.000000,VERY_SMALL_COMPONENT
57,C057-V084022,"Tufo de pelo da transição esquerda entre mandíbula, pescoço e clavícula",LEFT,HEAD_NECK_FUR,Pelo geométrico,HYBRID,HIGH,REBUILD,97,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,84,137,clavicle.L:40.933038|head:35.795846|neck:7.271117,VERY_SMALL_COMPONENT
58,C058-V086343,Camada externa de pelo do punho e antebraço direito,RIGHT,HAND_RIGHT,Pelo geométrico,HYBRID,CRITICAL,REBUILD,94,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,274,456,forearm.R:271.382007|thumb_01.R:2.617993,
59,C059-V089359,"Mão esquerda completa, incluindo palma e dedos",LEFT,HAND_LEFT,Pele e pelo,HYBRID,CRITICAL,RETOPOLOGY,99,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.","Reconstruir loops anatômicos de dedos, polegar, palma e punho.",LEFT,5347,10236,forearm.L:1876.182740|pinky_01.L:692.959405|pinky_03.L:530.977589|hand.L:489.665028|pinky_02.L:489.616354|thumb_02.L:447.031276|index_01.L:347.977397|thumb_01.L:149.865136,
60,C060-V090276,Triângulo residual solto na perna direita,RIGHT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,RIGHT,3,1,shin.R:3.000000,VERY_SMALL_COMPONENT
61,C061-V092550,"Painel lateral direito inferior do moletom, entre abdômen e cintura",RIGHT,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,95,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,1380,2551,spine_02:1170.621763|chest:209.378237,
62,C062-V093695,Camada externa de pelo no dorso da mão e punho direito,RIGHT,HAND_RIGHT,Pelo geométrico,HYBRID,CRITICAL,REBUILD,90,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,698,1262,forearm.R:509.946400|hand.R:113.289701|thumb_01.R:59.419040|index_01.R:12.857994|middle_01.R:1.991226|thumb_02.R:0.317350|pinky_01.R:0.178290,
63,C063-V095347,Faixa de pelo na transição entre punho e polegar direito,RIGHT,HAND_RIGHT,Pelo geométrico,HYBRID,CRITICAL,REBUILD,85,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,197,345,thumb_01.R:153.885913|forearm.R:43.114087,
64,C064-V096836,Pequeno acabamento do bolso lateral direito da calça,RIGHT,PANTS,Tecido estruturado,HYBRID,HIGH,REBUILD,82,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,226,378,thigh.R:226.000000,
65,C065-V098930,Faixa de pelo frontal da gola e clavícula esquerda,LEFT/CENTER,HEAD_NECK_FUR,Pelo geométrico,HYBRID,HIGH,REBUILD,92,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,CENTER,1323,2436,clavicle.L:986.178804|chest:170.726970|neck:56.826418|spine_02:54.056861|head:46.412318|clavicle.R:8.798634,CROSSES_CENTER_PLANE
